LONGITUDE,LATITUDE,PB206_PB204,PB207_PB204,PB208_PB204
127.995,-41.9582,18.0256,15.47953333,37.82513333
89.06,-41.92,18.0245,15.4859,37.9059
127.007,-41.8979,18.0625,15.4757,37.9914
127.008,-41.8972,18.0625,15.4757,37.9871
87.72,-41.89,17.8987,15.4899,37.9453
89.19,-41.89,18.0578,15.4837,37.9078
88.9222,-41.87,18.03,15.473,37.892
89.3178,-41.7217,18.173,15.492,38.013
89.32,-41.72,18.1688,15.4935,38.0124
88.7,-41.7,18.0498,15.4855,37.9225
87.092,-41.517,17.812,15.497,37.886
131.317,-41.4778,18.60725,15.4916,38.13155
86.23,-41.098,17.735,15.487,37.76
43.7,-40.98,17.7485,15.4765,37.628
78.65,-40.34,18.02,15.518,37.985
77.855,-40.327,17.9955,15.47,38.02
45.76,-40.13,18.1955,15.5065,38.402
131.977,-39.9223,18.184,15.4765,37.8075
119.745,-39.7792,18.0145,15.5025,37.9305
78.48,-39.68,18.085,15.561,38.445
78.138,-38.978,18.045,15.5595,38.658
78.158,-38.957,17.777,15.549,38.509
77.55,-38.72,18.34366667,15.55233333,38.61066667
77.5,-38.7,18.696,15.58,38.802
77.55,-38.7,18.694,15.565,38.87
47.4066,-38.6699,18.346,15.608,38.415
46.63,-38.66,17.9905,15.494,38.087
46.713,-38.432,18.2005,15.4925,37.9575
48.6,-38.13,18.2,15.5055,38.0435
48.62,-38.08,18.1438,15.4948,37.9911
48.83,-38.03,18.16335,15.4905,37.981
48.8487,-37.9881,18.192,15.491,38.011
49.25,-37.91,18.188,15.535,38.107
49.2549,-37.907,18.325,15.564,38.208
49.6537,-37.8768,18.223,15.499,38.042
49.34,-37.87,18.1444,15.4871,37.9598
49.1018,-37.8524,18.182,15.523,38.054
49.7125,-37.8512,18.189,15.492,37.98
49.7819,-37.8463,18.209,15.576,38.183
49.6613,-37.8322,18.578,15.598,38.522
132.293,-37.813,17.841,15.47566667,37.723
49.7988,-37.8033,18.663,15.648,38.7
49.6385,-37.7819,18.184,15.562,38.121
49.65,-37.78,18.2165,15.529,38.1225
49.65,-37.77,18.2525,15.532,38.14
49.4875,-37.7535,18.769,15.651,38.793
49.6872,-37.7386,18.201,15.645,38.297
77.825,-37.721,19.139,15.618,39.472
77.832,-37.716,18.554,15.586,39.036
49.882,-37.71,18.1775,15.4935,37.9475
49.85,-37.69,18.226,15.4904,37.9952
50.47,-37.68,18.183,15.5285,38.0955
50.47,-37.66,18.58,15.5825,38.586
50.4829,-37.6591,18.179,15.552,38.058
50.4703,-37.6582,18.187,15.488,37.969
50.4671,-37.6579,18.664,15.65,38.722
